species,order,common_name,invasivness,interdigitation,Reference link url,,,,,
Chrysochloris_asiatica,Afrosoricida,Cape_golden mole,Hemochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D34,,,,,
Echinops_telfairi,Afrosoricida,lesser_hedgehog tenrec,Hemochorial,Labyrinthine,https://genomics.senescence.info/species/entry.php?species=Echinops_telfairi,,,,,
Hemicentetes_semispinosus,Afrosoricida,lowland_streaked tenrec,Hemochorial,Labyrinthine,https://genomics.senescence.info/species/entry.php?species=Hemicentetes_semispinosus,,,,,
Limnogale_mergulus,Afrosoricida,web-footed_tenrec,Hemochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D122,,,,,
Microgale_cowani,Afrosoricida,Cowan's_shrew tenrec,Hemochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D121,,,,,
Oryzorictes_hova,Afrosoricida,mole-like_rice tenrec,Hemochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D120,,,,,
Potamogale_velox,Afrosoricida,giant_otter shrew,Hemochorial,Labyrinthine,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D119,,,,,
Setifer_setosus,Afrosoricida,greater_hedgehog tenrec,Hemochorial,Labyrinthine,https://genomics.senescence.info/species/entry.php?species=Setifer_setosus&utm_,,,,,
Tenrec_ecaudatus,Afrosoricida,tailless_tenrec,Hemochorial,Labyrinthine,https://animaldiversity.org/accounts/Tenrec_ecaudatus/?,,,,,
Addax_nasomaculatus,Artiodactyla,addax,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/abs/pii/016815919190237R,,,,,
Aepyceros_melampus,Artiodactyla,impala,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/abs/pii/S0378432019300211,,,,,
Alcelaphus_buselaphus,Artiodactyla,hartebeest,Epitheliochorial,Villous,http://placentation.ucsd.edu/topifs.htm,,,,,
Alces_alces,Artiodactyla,moose,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X16303004?via%3Dihub,,,,,
Alces_americanus,Artiodactyla,elk,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X16303004,,,,,
Ammotragus_lervia,Artiodactyla,Barbary_sheep,Epitheliochorial,Villous,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,,,,,
Antidorcas_marsupialis,Artiodactyla,springbok,Epitheliochorial,Villous,http://placentation.ucsd.edu/springbok.htm,,,,,
Antilocapra_americana,Artiodactyla,pronghorn,Epitheliochorial,Villous,https://anatomypubs.onlinelibrary.wiley.com/doi/abs/10.1002/aja.1001250206,,,,,
Antilope_cervicapra,Artiodactyla,blackbuck,Epitheliochorial,Villous,https://www.jstor.org/stable/20094597,,,,,
Axis_axis,Artiodactyla,chital,Epitheliochorial,Villous,http://placentation.ucsd.edu/deer.html,,,,,
Axis_calamianensis,Artiodactyla,Calamian_deer,Epitheliochorial,Villous,,,,,,
Axis_kuhlii,Artiodactyla,Bawean_deer,Epitheliochorial,Villous,,,,,,
Babyrousa_babyrussa,Artiodactyla,Buru_babirusa,Epitheliochorial,Villous,https://link.springer.com/article/10.1007/BF00235496,,,,,
Babyrousa_celebensis,Artiodactyla,North_Sulawesi babirusa,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0093691X10000828,,,,,
Bison_bison,Artiodactyla,American_bison,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S001664800700161X,,,,,
Bison_bonasus,Artiodactyla,European_bison,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0378432008001504,,,,,
Blastocerus_dichotomus,Artiodactyla,marsh_deer,Epitheliochorial,Villous,https://academic.oup.com/conphys/article/6/1/cox073/4824840,,,,,
Bos_frontalis,Artiodactyla,gayal,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC8083812/,,,,,
Bos_gaurus,Artiodactyla,gaur,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC8083812/,,,,,
Bos_grunniens,Artiodactyla,domestic_yak,Epitheliochorial,Villous,https://www.mdpi.com/2076-2615/10/2/334,,,,,
Bos_indicus,Artiodactyla,zebu,Epitheliochorial,Villous,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0531.2009.01345.x,,,,,
Bos_javanicus,Artiodactyla,banteng,Epitheliochorial,Villous,https://ajcb.in/journals/full_papers_july_2024/AJCB-Vol13-No1-82232_Setiadi%20et%20al.pdf,,,,,
Bos_taurus,Artiodactyla,cow,Epitheliochorial,Villous,https://link.springer.com/article/10.1186/1477-7827-7-25,,,,,
Boselaphus_tragocamelus,Artiodactyla,nilgai,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D23,,,,,
Bubalus_bubalis,Artiodactyla,water_buffalo,Epitheliochorial,Villous,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.10387,,,,,
Bubalus_depressicornis,Artiodactyla,dwarf_buffalo,Epitheliochorial,Villous,http://placentation.ucsd.edu/anoa.htm,,,,,
Bubalus_mindorensis,Artiodactyla,Mindoro_dwarf buffalo,Epitheliochorial,Villous,https://www.biosciproceedings.org/BP/0008/bp0008rdr1.pdf,,,,,
Budorcas_taxicolor,Artiodactyla,takin,Epitheliochorial,Villous,https://www.mdpi.com/2076-2615/14/4/571,,,,,
Camelus_bactrianus,Artiodactyla,Bactrian_camel,Epitheliochorial,Villous,http://placentation.ucsd.edu/camfs.htm,,,,,
Camelus_dromedarius,Artiodactyla,dromedary,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400496900466,,,,,
Capra_cylindricornis,Artiodactyla,East_Caucasian tur,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D22,,,,,
Capra_falconeri,Artiodactyla,markhor,Epitheliochorial,Villous,http://placentation.ucsd.edu/alpinefs.htm,,,,,
Capra_hircus,Artiodactyla,domestic_goat,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC1252677/,,,,,
Capra_ibex,Artiodactyla,Alpine_ibex,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D20,,,,,
Capra_nubiana,Artiodactyla,Nubian_ibex,Epitheliochorial,Villous,https://link.springer.com/article/10.1007/s00580-010-1124-0,,,,,
Capra_pyrenaica,Artiodactyla,Iberian_ibex,Epitheliochorial,Villous,http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html,,,,,
Capreolus_capreolus,Artiodactyla,roe_deer,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D32,,,,,
Capricornis_crispus,Artiodactyla,Japanese_serow,Epitheliochorial,Villous,http://placentation.ucsd.edu/serow.html,,,,,
Catagonus_wagneri,Artiodactyla,Chacoan_peccary,Epitheliochorial,Villous,https://www.sciencedirect.com/science/article/pii/S0143400405000779,,,,,
Cephalophus_dorsalis,Artiodactyla,bay_duiker,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC8083812/,,,,,
Cephalophus_jentinki,Artiodactyla,Jentink's_duiker,Epitheliochorial,Villous,,,,,,
Cephalophus_monticola,Artiodactyla,blue_duiker,Epitheliochorial,Villous,https://www.proquest.com/openview/235c251660bb463e5b2c14db0ba3a6fe/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,
Cephalophus_niger,Artiodactyla,black_duiker,Epitheliochorial,Villous,https://pmc.ncbi.nlm.nih.gov/articles/PMC8083812/,,,,,
Cephalophus_rufilatus,Artiodactyla,red-flanked_duiker,Epitheliochorial,Villous,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246162,,,,,
Cephalophus_silvicultor,Artiodactyla,yellow-backed_duiker,Epitheliochorial,Villous,http://placentation.ucsd.edu/duiker.htm,,,,,
Cephalorhynchus_commersonii,Artiodactyla,Commerson's_dolphin,Epitheliochorial,Villous,https://placentation.ucsd.edu/commerson.htm?,,,,,
Cervus_canadensis,Artiodactyla,wapiti,Epitheliochorial,Villous,,,,,,
Cervus_duvaucelii,Artiodactyla,swamp_deer,Epitheliochorial,Villous,,,,,,
Cervus_elaphus,Artiodactyla,red_deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/deer.html,,,,,
Cervus_eldii,Artiodactyla,Eld's_deer,Epitheliochorial,Villous,http://placentation.ucsd.edu/deer.html,,,,,
Cervus_nippon,Artiodactyla,sika_deer,Epitheliochorial,Villous,,,,,,
Cervus_timorensis,Artiodactyla,Javan_rusa,Epitheliochorial,Villous,https://reader.elsevier.com/reader/sd/pii/S0143400409002677?token=CBB6917B39312A819CF69AD406870D174F53F797C1E1015D52E398EFC3415864BF09E79BD1812806D1D626693A8344D31,,,,,
