"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"acerodon_jubatus",166.65,7320.34,"Hemochorial","Labyrinthine","Chiroptera"
"acinonyx_jubatus",90.12,7482.5,"Endotheliochorial","Labyrinthine","Carnivora"
"acomys_cahirinus",38,2731.42,"Hemochorial","Labyrinthine","Rodentia"
"addax_nasomaculatus",276,10293,"Epitheliochorial","Villous","Artiodactyla"
"aepyceros_melampus",196.74,9344,"Epitheliochorial","Villous","Artiodactyla"
"ailuropoda_melanoleuca",131.18,13432,"Endotheliochorial","Labyrinthine","Carnivora"
"ailurus_fulgens",123.44,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"alcelaphus_buselaphus",240.64,5828.85,"Epitheliochorial","Villous","Artiodactyla"
"alces_alces",241.98,9855,"Epitheliochorial","Villous","Artiodactyla"
"allenopithecus_nigroviridis",165.59,10019.25,"Hemochorial","Labyrinthine","Primates"
"alouatta_caraya",187,11826,"Hemochorial","Villous","Primates"
"alouatta_palliata",186,9125,"Hemochorial","Villous","Primates"
"alouatta_seniculus",190,9125,"Hemochorial","Trabecular","Primates"
"ammospermophilus_harrisii",29.36,3869,"Hemochorial","Labyrinthine","Rodentia"
"ammospermophilus_leucurus",29.19,4088,"Hemochorial","Labyrinthine","Rodentia"
"ammotragus_lervia",151.81,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"anathana_ellioti",46.31,2851.09,"Endotheliochorial","Labyrinthine","Scandentia"
"antidorcas_marsupialis",169.49,7300,"Epitheliochorial","Villous","Artiodactyla"
"antilocapra_americana",247.45,5657.5,"Epitheliochorial","Villous","Artiodactyla"
"antilope_cervicapra",167.7,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"aonyx_capensis",63,5183,"Endotheliochorial","Labyrinthine","Carnivora"
"aotus_trivirgatus",142,10986.5,"Hemochorial","Villous","Primates"
"aplodontia_rufa",29.91,3650,"Hemochorial","Labyrinthine","Rodentia"
"arctictis_binturong",92,9928,"Endotheliochorial","Labyrinthine","Carnivora"
"arctocebus_aureus",133.74,4745,"Epitheliochorial","Villous","Primates"
"arctocephalus_pusillus",357.83,11716.5,"Endotheliochorial","Labyrinthine","Carnivora"
"arctocephalus_townsendi",246.38,11169,"Endotheliochorial","Labyrinthine","Carnivora"
"artibeus_jamaicensis",106.54,7014.08,"Endotheliochorial","Labyrinthine","Chiroptera"
"artibeus_lituratus",106.54,7014.08,"Endotheliochorial","Labyrinthine","Chiroptera"
"atelerix_albiventris",35.5,4161,"Hemochorial","Labyrinthine","Eulipotyphla"
"ateles_fusciceps",227,17520,"Hemochorial","Trabecular","Primates"
"ateles_geoffroyi",229.19,17520,"Hemochorial","Trabecular","Primates"
"ateles_paniscus",228.18,16790,"Hemochorial","Trabecular","Primates"
"atherurus_africanus",106.53,8364.58,"Hemochorial","Labyrinthine","Rodentia"
"axis_axis",226.75,7592,"Epitheliochorial","Villous","Artiodactyla"
"babyrousa_babyrussa",156.5,8760,"Epitheliochorial","Villous","Artiodactyla"
"babyrousa_celebensis",156.5,8760,"Epitheliochorial","Villous","Artiodactyla"
"bandicota_indica",22,1533,"Hemochorial","Labyrinthine","Rodentia"
"bassariscus_astutus",54.23,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"bassariscus_sumichrasti",64.72,8760,"Endotheliochorial","Labyrinthine","Carnivora"
"bathyergus_janetta",68.41,547.5,"Hemochorial","Labyrinthine","Rodentia"
"blarina_brevicauda",20.09,1003.75,"Hemochorial","Labyrinthine","Eulipotyphla"
"blastocerus_dichotomus",270.58,5000.5,"Epitheliochorial","Villous","Artiodactyla"
"bos_gaurus",274.77,9563,"Epitheliochorial","Villous","Artiodactyla"
"bos_javanicus",295.89,9891.5,"Epitheliochorial","Villous","Artiodactyla"
"boselaphus_tragocamelus",255,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"brachylagus_idahoensis",33.04,1578.63,"Hemochorial","Labyrinthine","Lagomorpha"
"bradypus_pygmaeus",160.36,9120.93,"Endotheliochorial","Trabecular","Pilosa"
"bradypus_torquatus",150,4380,"Endotheliochorial","Labyrinthine","Pilosa"
"bradypus_tridactylus",126.96,14600,"Endotheliochorial","Trabecular","Pilosa"
"bradypus_variegatus",170.84,9866.91,"Endotheliochorial","Trabecular","Pilosa"
"bubalus_depressicornis",300,13176.5,"Epitheliochorial","Villous","Artiodactyla"
"bubalus_mindorensis",302.93,10220,"Epitheliochorial","Villous","Artiodactyla"
"budorcas_taxicolor",235.6,7993.5,"Epitheliochorial","Villous","Artiodactyla"
"cacajao_calvus",182,13781.79,"Hemochorial","Villous","Primates"
"callimico_goeldii",153.5,8103,"Hemochorial","Trabecular","Primates"
"callithrix_geoffroyi",144,8318.96,"Hemochorial","Trabecular","Primates"
"callithrix_jacchus",144,8318.96,"Hemochorial","Trabecular","Primates"
"callithrix_kuhlii",144,8318.96,"Hemochorial","Trabecular","Primates"
"callithrix_penicillata",144,8318.96,"Hemochorial","Trabecular","Primates"
"callorhinus_ursinus",254.75,12775,"Endotheliochorial","Labyrinthine","Carnivora"
"callosciurus_prevostii",47.79,7701.5,"Hemochorial","Villous","Rodentia"
"callospermophilus_lateralis",30.44,3796,"Hemochorial","Labyrinthine","Rodentia"
"calomys_callosus",22.01,416.83,"Hemochorial","Labyrinthine","Rodentia"
"camelus_dromedarius",395.76,14600,"Epitheliochorial","Villous","Artiodactyla"
"canis_latrans",62.39,7969.17,"Endotheliochorial","Labyrinthine","Carnivora"
"canis_lupus",62.2,10767.5,"Endotheliochorial","Labyrinthine","Carnivora"
"canis_rufus",67.81,5847.27,"Endotheliochorial","Labyrinthine","Carnivora"
"capra_cylindricornis",161,7373,"Epitheliochorial","Villous","Artiodactyla"
"capra_falconeri",163.07,6971.5,"Epitheliochorial","Villous","Artiodactyla"
"capra_ibex",169,8139.5,"Epitheliochorial","Villous","Artiodactyla"
"capra_nubiana",169,8139.5,"Epitheliochorial","Villous","Artiodactyla"
"capreolus_capreolus",153,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"capricornis_crispus",215,8760,"Epitheliochorial","Villous","Artiodactyla"
"capromys_pilorides",125,5040.04,"Hemochorial","Labyrinthine","Rodentia"
"caracal_caracal",73.96,7409.5,"Endotheliochorial","Labyrinthine","Carnivora"
"carollia_perspicillata",95,6205,"Endotheliochorial","Labyrinthine","Chiroptera"
"castor_canadensis",114.44,8541,"Hemochorial","Labyrinthine","Rodentia"
"catagonus_wagneri",152.08,5344.21,"Epitheliochorial","Villous","Artiodactyla"
"cavia_fulgida",73.39,2401.99,"Hemochorial","Labyrinthine","Rodentia"
"cavia_tschudii",63,3650,"Hemochorial","Labyrinthine","Rodentia"
"cebus_albifrons",158,16060,"Hemochorial","Trabecular","Primates"
"cebus_capucinus",162,20075,"Hemochorial","Trabecular","Primates"
"cephalophus_dorsalis",236,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_jentinki",205.76,7771.46,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_niger",127.83,5402,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_rufilatus",233.99,5548,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_silvicultor",165.27,8212.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalorhynchus_commersonii",365.23,9417,"Epitheliochorial","Villous","Artiodactyla"
"ceratotherium_simum",515,18250,"Epitheliochorial","Villous","Perissodactyla"
"cercocebus_agilis",169.86,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_chrysogaster",169.86,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_torquatus",167.99,16790,"Hemochorial","Trabecular","Primates"
"cercopithecus_cephus",172,13140,"Hemochorial","Trabecular","Primates"
"cercopithecus_diana",168.99,13614.5,"Hemochorial","Trabecular","Primates"
"cercopithecus_hamlyni",170.74,10439,"Hemochorial","Trabecular","Primates"
"cercopithecus_mitis",136.96,13797,"Hemochorial","Trabecular","Primates"
"cercopithecus_mona",172.73,11202.46,"Hemochorial","Trabecular","Primates"
"cercopithecus_neglectus",176,11242,"Hemochorial","Trabecular","Primates"
"cervus_elaphus",244.4,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"cervus_nippon",223.66,9599.5,"Epitheliochorial","Villous","Artiodactyla"
"chaerephon_plicatus",88.64,2467,"Hemochorial","Labyrinthine","Chiroptera"
"chaetodipus_fallax",25,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"chaetophractus_vellerosus",93.07,5919.08,"Hemochorial","Trabecular","Cingulata"
"chaetophractus_villosus",67,9198,"Hemochorial","Trabecular","Cingulata"
"cheirogaleus_medius",63.77,8471.04,"Epitheliochorial","Villous","Primates"
"chinchilla_lanigera",112.47,7300,"Hemochorial","Labyrinthine","Rodentia"
"chlorocebus_aethiops",167.99,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_pygerythrus",167.99,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_sabaeus",167.99,16790,"Hemochorial","Trabecular","Primates"
"choloepus_didactylus",274.32,13432,"Endotheliochorial","Trabecular","Pilosa"
"choloepus_hoffmanni",344.89,13505,"Endotheliochorial","Trabecular","Pilosa"
"chrotopterus_auritus",153.05,5894.62,"Endotheliochorial","Labyrinthine","Chiroptera"
"chrysochloris_asiatica",67.67,879.04,"Hemochorial","Labyrinthine","Afrosoricida"
"chrysocyon_brachyurus",64,6132,"Endotheliochorial","Labyrinthine","Carnivora"
"coendou_mexicanus",137.09,6095.5,"Hemochorial","Labyrinthine","Rodentia"
"coendou_prehensilis",203,9709,"Hemochorial","Labyrinthine","Rodentia"
"colobus_angolensis",190.53,12884.5,"Hemochorial","Trabecular","Primates"
"colobus_guereza",180,12775,"Hemochorial","Trabecular","Primates"
"connochaetes_gnou",258.72,7957,"Epitheliochorial","Villous","Artiodactyla"
"connochaetes_taurinus",253,9015.5,"Epitheliochorial","Villous","Artiodactyla"
"crateromys_heaneyi",36.66,3218.08,"Hemochorial","Labyrinthine","Rodentia"
"cricetomys_gambianus",34,3066,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_barabensis",20.55,1934.5,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_longicaudatus",22.12,60.83,"Hemochorial","Labyrinthine","Rodentia"
"crocuta_crocuta",110,15001.5,"Hemochorial","Labyrinthine","Carnivora"
"crossarchus_obscurus",68.48,4854.5,"Endotheliochorial","Labyrinthine","Carnivora"
"cryptoprocta_ferox",91.31,8431.5,"Endotheliochorial","Labyrinthine","Carnivora"
"ctenodactylus_gundi",74,2117,"Hemochorial","Labyrinthine","Rodentia"
"cuniculus_paca",116,6132,"Hemochorial","Labyrinthine","Rodentia"
"cyclopes_didactylus",215.75,839.5,"Hemochorial","Trabecular","Pilosa"
