;;;;;
Reference;Contrast;Estimate (β coefficient);SE;p_value;Placenta and LH traits
Epitheliochorial;Endotheliochorial;0.056192844;0.248662002;0.821341112;neonate_invasiveness
Epitheliochorial;Hemochorial;-0.05543861;0.199886472;0.781665878;neonate_invasiveness
Endotheliochorial;Epitheliochorial;-0.05619284;0.248662002;0.821341113;neonate_invasiveness
Endotheliochorial;Hemochorial;-0.11163146;0.174822982;0.523517298;neonate_invasiveness
Hemochorial;Endotheliochorial;0.111631458;0.174822982;0.523517297;neonate_invasiveness
Hemochorial;Epitheliochorial;0.055438613;0.199886472;0.781665878;neonate_invasiveness
Villous;Trabecular;-0.12021678;0.141526053;0.396190138;neonate_interdigitation
Villous;Labyrinthine;-0.06799528;0.206953737;0.742679397;neonate_interdigitation
Trabecular;Villous;0.12021678;0.141526053;0.396190137;neonate_interdigitation
Trabecular;Labyrinthine;0.052221496;0.223808243;0.815633093;neonate_interdigitation
Labyrinthine;Trabecular;-0.0522215;0.223808243;0.815633094;neonate_interdigitation
Labyrinthine;Villous;0.067995284;0.206953737;0.742679397;neonate_interdigitation
Epitheliochorial;Endotheliochorial;-0.12386517;0.102892874;0.229220595;gestation_invasiveness
Epitheliochorial;Hemochorial;-0.08664221;0.082480228;0.294008953;gestation_invasiveness
Endotheliochorial;Epitheliochorial;0.123865175;0.102892875;0.229220592;gestation_invasiveness
Endotheliochorial;Hemochorial;0.037222968;0.066140727;0.573831468;gestation_invasiveness
Hemochorial;Endotheliochorial;-0.03722297;0.066140727;0.573831446;gestation_invasiveness
Hemochorial;Epitheliochorial;0.086642199;0.082480226;0.294008981;gestation_invasiveness
Villous;Trabecular;-0.04483385;0.050197075;0.372198693;gestation_interdigitation
Villous;Labyrinthine;-0.3182223;0.090133617;0.000452629;gestation_interdigitation
Trabecular;Villous;0.044833853;0.050197075;0.372198693;gestation_interdigitation
Trabecular;Labyrinthine;-0.27338845;0.094526647;0.003990772;gestation_interdigitation
Labyrinthine;Trabecular;0.273388452;0.094526647;0.003990772;gestation_interdigitation
Labyrinthine;Villous;0.318222305;0.090133617;0.000452629;gestation_interdigitation
Epitheliochorial;Endotheliochorial;0.025504019;0.127383943;0.841394001;litter_invasiveness
Epitheliochorial;Hemochorial;0.017977218;0.104186291;0.863075242;litter_invasiveness
Endotheliochorial;Epitheliochorial;-0.02550402;0.127383943;0.841394001;litter_invasiveness
Endotheliochorial;Hemochorial;-0.0075268;0.080029828;0.925106783;litter_invasiveness
Hemochorial;Endotheliochorial;0.007526801;0.080029828;0.925106783;litter_invasiveness
Hemochorial;Epitheliochorial;-0.01797722;0.104186291;0.863075242;litter_invasiveness
Villous;Trabecular;0.036124063;0.06343027;0.569264499;litter_interdigitation
Villous;Labyrinthine;0.151210357;0.108789605;0.165161327;litter_interdigitation
Trabecular;Villous;-0.03612406;0.06343027;0.569264499;litter_interdigitation
Trabecular;Labyrinthine;0.115086295;0.1145989;0.315737602;litter_interdigitation
Labyrinthine;Trabecular;-0.11508629;0.1145989;0.315737602;litter_interdigitation
Labyrinthine;Villous;-0.15121036;0.108789605;0.165161327;litter_interdigitation
Epitheliochorial;Endotheliochorial;-0.0374271;0.035763781;0.295826968;interval_invasiveness
Epitheliochorial;Hemochorial;0.00925837;0.030918196;0.764721983;interval_invasiveness
Endotheliochorial;Epitheliochorial;0.037426486;0.035763637;0.295832938;interval_invasiveness
Endotheliochorial;Hemochorial;0.046680647;0.021360171;0.029317774;interval_invasiveness
Hemochorial;Endotheliochorial;-0.04668065;0.021360171;0.029317774;interval_invasiveness
Hemochorial;Epitheliochorial;-0.00925416;0.030918363;0.764827015;interval_invasiveness
Villous;Trabecular;-0.3649335;0.098561952;0.000236921;interval_interdigitation
Villous;Labyrinthine;-0.39890864;0.14054609;0.004718381;interval_interdigitation
Trabecular;Villous;0.364933505;0.098561952;0.000236921;interval_interdigitation
Trabecular;Labyrinthine;-0.03397514;0.151697834;0.822874448;interval_interdigitation
Labyrinthine;Trabecular;0.033975136;0.151697834;0.822874448;interval_interdigitation
Labyrinthine;Villous;0.39890864;0.14054609;0.004718381;interval_interdigitation
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
