"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"acerodon_jubatus",369.71,7320.34,"Hemochorial","Labyrinthine","Chiroptera"
"acinonyx_jubatus",541.88,7482.5,"Endotheliochorial","Labyrinthine","Carnivora"
"acomys_cahirinus",33.98,2731.42,"Hemochorial","Labyrinthine","Rodentia"
"addax_nasomaculatus",357.26,10293,"Epitheliochorial","Villous","Artiodactyla"
"aepyceros_melampus",364.75,9344,"Epitheliochorial","Villous","Artiodactyla"
"ailuropoda_melanoleuca",592.97,13432,"Endotheliochorial","Labyrinthine","Carnivora"
"ailurus_fulgens",364.75,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"alcelaphus_buselaphus",358.26,5828.85,"Epitheliochorial","Villous","Artiodactyla"
"alces_alces",364.75,9855,"Epitheliochorial","Villous","Artiodactyla"
"allenopithecus_nigroviridis",470.45,10019.25,"Hemochorial","Labyrinthine","Primates"
"alouatta_caraya",337.58,11826,"Hemochorial","Villous","Primates"
"alouatta_palliata",533.82,9125,"Hemochorial","Villous","Primates"
"alouatta_seniculus",465.36,9125,"Hemochorial","Trabecular","Primates"
"ammospermophilus_harrisii",290.28,3869,"Hemochorial","Labyrinthine","Rodentia"
"ammospermophilus_leucurus",233.62,4088,"Hemochorial","Labyrinthine","Rodentia"
"ammotragus_lervia",220.8,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"anathana_ellioti",147.47,2851.09,"Endotheliochorial","Labyrinthine","Scandentia"
"antidorcas_marsupialis",364.75,7300,"Epitheliochorial","Villous","Artiodactyla"
"antilocapra_americana",364.75,5657.5,"Epitheliochorial","Villous","Artiodactyla"
"antilope_cervicapra",221.63,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"aonyx_capensis",245.21,5183,"Endotheliochorial","Labyrinthine","Carnivora"
"aotus_trivirgatus",269.82,10986.5,"Hemochorial","Villous","Primates"
"aplodontia_rufa",365,3650,"Hemochorial","Labyrinthine","Rodentia"
"arctictis_binturong",332.57,9928,"Endotheliochorial","Labyrinthine","Carnivora"
"arctocebus_aureus",140.64,4745,"Epitheliochorial","Villous","Primates"
