"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"acerodon_jubatus",1,7320.34,"Hemochorial","Labyrinthine","Chiroptera"
"acinonyx_jubatus",3.04,7482.5,"Endotheliochorial","Labyrinthine","Carnivora"
"acomys_cahirinus",2.47,2731.42,"Hemochorial","Labyrinthine","Rodentia"
"addax_nasomaculatus",1,10293,"Epitheliochorial","Villous","Artiodactyla"
"aepyceros_melampus",1,9344,"Epitheliochorial","Villous","Artiodactyla"
"ailuropoda_melanoleuca",1.54,13432,"Endotheliochorial","Labyrinthine","Carnivora"
"ailurus_fulgens",2,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"alcelaphus_buselaphus",1,5828.85,"Epitheliochorial","Villous","Artiodactyla"
"alces_alces",1.28,9855,"Epitheliochorial","Villous","Artiodactyla"
"allenopithecus_nigroviridis",1,10019.25,"Hemochorial","Labyrinthine","Primates"
"alouatta_caraya",1,11826,"Hemochorial","Villous","Primates"
"alouatta_palliata",1,9125,"Hemochorial","Villous","Primates"
"alouatta_seniculus",1.2,9125,"Hemochorial","Trabecular","Primates"
"ammospermophilus_harrisii",6.66,3869,"Hemochorial","Labyrinthine","Rodentia"
"ammospermophilus_leucurus",8,4088,"Hemochorial","Labyrinthine","Rodentia"
"ammotragus_lervia",1.22,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"anathana_ellioti",4.84,2851.09,"Endotheliochorial","Labyrinthine","Scandentia"
"antidorcas_marsupialis",1,7300,"Epitheliochorial","Villous","Artiodactyla"
"antilocapra_americana",1.89,5657.5,"Epitheliochorial","Villous","Artiodactyla"
"antilope_cervicapra",1,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"aonyx_capensis",2.56,5183,"Endotheliochorial","Labyrinthine","Carnivora"
"aotus_trivirgatus",1.06,10986.5,"Hemochorial","Villous","Primates"
"aplodontia_rufa",2.8,3650,"Hemochorial","Labyrinthine","Rodentia"
"arctictis_binturong",2.5,9928,"Endotheliochorial","Labyrinthine","Carnivora"
"arctocebus_aureus",1,4745,"Epitheliochorial","Villous","Primates"
"arctocephalus_pusillus",1,11716.5,"Endotheliochorial","Labyrinthine","Carnivora"
"arctocephalus_townsendi",1,11169,"Endotheliochorial","Labyrinthine","Carnivora"
"artibeus_jamaicensis",1,7014.08,"Endotheliochorial","Labyrinthine","Chiroptera"
"artibeus_lituratus",1,7014.08,"Endotheliochorial","Labyrinthine","Chiroptera"
"atelerix_albiventris",4.49,4161,"Hemochorial","Labyrinthine","Eulipotyphla"
"ateles_fusciceps",1,17520,"Hemochorial","Trabecular","Primates"
"ateles_geoffroyi",1,17520,"Hemochorial","Trabecular","Primates"
"ateles_paniscus",1,16790,"Hemochorial","Trabecular","Primates"
"atherurus_africanus",1.5,8364.58,"Hemochorial","Labyrinthine","Rodentia"
"axis_axis",1.03,7592,"Epitheliochorial","Villous","Artiodactyla"
"babyrousa_babyrussa",1.4,8760,"Epitheliochorial","Villous","Artiodactyla"
"babyrousa_celebensis",1.4,8760,"Epitheliochorial","Villous","Artiodactyla"
"bandicota_indica",6.12,1533,"Hemochorial","Labyrinthine","Rodentia"
"bassariscus_astutus",3,6935,"Endotheliochorial","Labyrinthine","Carnivora"
"bassariscus_sumichrasti",2,8760,"Endotheliochorial","Labyrinthine","Carnivora"
"bathyergus_janetta",3.3,547.5,"Hemochorial","Labyrinthine","Rodentia"
"blarina_brevicauda",5.73,1003.75,"Hemochorial","Labyrinthine","Eulipotyphla"
"blastocerus_dichotomus",1,5000.5,"Epitheliochorial","Villous","Artiodactyla"
"bos_gaurus",1.17,9563,"Epitheliochorial","Villous","Artiodactyla"
"bos_javanicus",1.22,9891.5,"Epitheliochorial","Villous","Artiodactyla"
