"species","neonate_body_size","body_mass_g","longevity","invasiveness","interdigitation","neonate_over_adult","taxonomic_order"
"acinonyx_jubatus",441.66,50577.92,7482.5,"Endotheliochorial","Labyrinthine",0.00873226894265324,"Carnivora"
"acomys_cahirinus",5.49,45.2,2731.42,"Hemochorial","Labyrinthine",0.12146017699115,"Rodentia"
"addax_nasomaculatus",5633.76,94288.68,10293,"Epitheliochorial","Villous",0.0597501205871161,"Artiodactyla"
"aepyceros_melampus",5238.4,52500,9344,"Epitheliochorial","Villous",0.0997790476190476,"Artiodactyla"
"ailuropoda_melanoleuca",104.39,117500,13432,"Endotheliochorial","Labyrinthine",0.000888425531914894,"Carnivora"
"ailurus_fulgens",104.04,4747.54,6935,"Endotheliochorial","Labyrinthine",0.0219145073027294,"Carnivora"
"alcelaphus_buselaphus",12500,159938.9,5828.85,"Epitheliochorial","Villous",0.0781548453815801,"Artiodactyla"
"alces_alces",12999.99,359750,9855,"Epitheliochorial","Villous",0.0361361779013204,"Artiodactyla"
"allenopithecus_nigroviridis",240.71,4690,10019.25,"Hemochorial","Labyrinthine",0.0513240938166311,"Primates"
"alouatta_caraya",260.6,5462.5,11826,"Hemochorial","Villous",0.0477070938215103,"Primates"
"alouatta_palliata",318.29,5659.14,9125,"Hemochorial","Villous",0.056243528168591,"Primates"
"alouatta_seniculus",293.42,6398.31,9125,"Hemochorial","Trabecular",0.045858984638131,"Primates"
"ammospermophilus_harrisii",3.59,126,3869,"Hemochorial","Labyrinthine",0.0284920634920635,"Rodentia"
"ammospermophilus_leucurus",2.9,99.37,4088,"Hemochorial","Labyrinthine",0.0291838583073362,"Rodentia"
"ammotragus_lervia",4500,92500,7920.5,"Epitheliochorial","Villous",0.0486486486486487,"Artiodactyla"
"antidorcas_marsupialis",3841.48,33571.24,7300,"Epitheliochorial","Villous",0.11442770657265,"Artiodactyla"
"antilocapra_americana",3454.7,45375,5657.5,"Epitheliochorial","Villous",0.0761366391184573,"Artiodactyla"
"antilope_cervicapra",3386.14,37500,8723.5,"Epitheliochorial","Villous",0.0902970666666667,"Artiodactyla"
"aotus_trivirgatus",96.49,872.98,10986.5,"Hemochorial","Villous",0.110529450846526,"Primates"
"aplodontia_rufa",23.12,706.8,3650,"Hemochorial","Labyrinthine",0.0327108092812677,"Rodentia"
"arctictis_binturong",317.35,12999.99,9928,"Endotheliochorial","Labyrinthine",0.0244115572396594,"Carnivora"
"arctocephalus_pusillus",5750,127551,11716.5,"Endotheliochorial","Labyrinthine",0.0450800072128012,"Carnivora"
"artibeus_jamaicensis",10.57,46.1,7014.08,"Endotheliochorial","Labyrinthine",0.229284164859002,"Chiroptera"
"artibeus_lituratus",8.9,46.1,7014.08,"Endotheliochorial","Labyrinthine",0.193058568329718,"Chiroptera"
"atelerix_albiventris",8,600,4161,"Hemochorial","Labyrinthine",0.0133333333333333,"Eulipotyphla"
"ateles_fusciceps",499.99,7267.5,17520,"Hemochorial","Trabecular",0.0687980736154111,"Primates"
"ateles_geoffroyi",425.85,7267.5,17520,"Hemochorial","Trabecular",0.0585964912280702,"Primates"
"ateles_paniscus",478.64,7887.5,16790,"Hemochorial","Trabecular",0.0606833597464342,"Primates"
"atherurus_africanus",146.27,2875.65,8364.58,"Hemochorial","Labyrinthine",0.0508650218211535,"Rodentia"
"axis_axis",3156.86,45500,7592,"Epitheliochorial","Villous",0.0693815384615385,"Artiodactyla"
"babyrousa_babyrussa",715,92950.09,8760,"Epitheliochorial","Villous",0.00769230024414178,"Artiodactyla"
"bandicota_indica",9.77,200,1533,"Hemochorial","Labyrinthine",0.04885,"Rodentia"
"bassariscus_astutus",27.74,1010.37,6935,"Endotheliochorial","Labyrinthine",0.0274552886566307,"Carnivora"
"bathyergus_janetta",15.39,627.5,547.5,"Hemochorial","Labyrinthine",0.0245258964143426,"Rodentia"
"blarina_brevicauda",0.89,20.7,1003.75,"Hemochorial","Labyrinthine",0.0429951690821256,"Eulipotyphla"
"blastocerus_dichotomus",4199.99,102500,5000.5,"Epitheliochorial","Villous",0.040975512195122,"Artiodactyla"
"boselaphus_tragocamelus",5875,180000,7920.5,"Epitheliochorial","Villous",0.0326388888888889,"Artiodactyla"
"bradypus_tridactylus",178.66,4072.9,14600,"Endotheliochorial","Trabecular",0.043865550344963,"Pilosa"
"bradypus_variegatus",271.81,3963.18,9866.91,"Endotheliochorial","Trabecular",0.0685838140079431,"Pilosa"
"callimico_goeldii",50.5,556.5,8103,"Hemochorial","Trabecular",0.0907457322551662,"Primates"
