species;order;common_name;invasivness;interdigitation;link_url;;;;;;;;;;;
Chrysochloris_asiatica;Afrosoricida;Cape_golden mole;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Echinops_telfairi;Afrosoricida;lesser_hedgehog tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Hemicentetes_semispinosus;Afrosoricida;lowland_streaked tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Limnogale_mergulus;Afrosoricida;web-footed_tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Microgale_cowani;Afrosoricida;Cowan's_shrew tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Oryzorictes_hova;Afrosoricida;mole-like_rice tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Potamogale_velox;Afrosoricida;giant_otter shrew;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Setifer_setosus;Afrosoricida;greater_hedgehog tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Tenrec_ecaudatus;Afrosoricida;tailless_tenrec;Hemochorial;Labyrinthine;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Addax_nasomaculatus;Artiodactyla;addax;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Aepyceros_melampus;Artiodactyla;impala;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Alcelaphus_buselaphus;Artiodactyla;hartebeest;Epitheliochorial;Villous;http://placentation.ucsd.edu/topifs.htm;;;;;;;;;;;
Alces_alces;Artiodactyla;moose;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Alces_americanus;Artiodactyla;elk;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Ammotragus_lervia;Artiodactyla;Barbary_sheep;Epitheliochorial;Villous;http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html;;;;;;;;;;;
Antidorcas_marsupialis;Artiodactyla;springbok;Epitheliochorial;Villous;http://placentation.ucsd.edu/springbok.htm;;;;;;;;;;;
Antilocapra_americana;Artiodactyla;pronghorn;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Antilope_cervicapra;Artiodactyla;blackbuck;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Axis_axis;Artiodactyla;chital;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Axis_calamianensis;Artiodactyla;Calamian_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Axis_kuhlii;Artiodactyla;Bawean_deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Babyrousa_babyrussa;Artiodactyla;Buru_babirusa;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Babyrousa_celebensis;Artiodactyla;North_Sulawesi babirusa;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bison_bison;Artiodactyla;American_bison;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bison_bonasus;Artiodactyla;European_bison;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Blastocerus_dichotomus;Artiodactyla;marsh_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_frontalis;Artiodactyla;gayal;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_gaurus;Artiodactyla;gaur;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_grunniens;Artiodactyla;domestic_yak;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_indicus;Artiodactyla;zebu;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_javanicus;Artiodactyla;banteng;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bos_taurus;Artiodactyla;cow;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Boselaphus_tragocamelus;Artiodactyla;nilgai;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bubalus_bubalis;Artiodactyla;water_buffalo;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Bubalus_depressicornis;Artiodactyla;dwarf_buffalo;Epitheliochorial;Villous;http://placentation.ucsd.edu/anoa.htm;;;;;;;;;;;
Bubalus_mindorensis;Artiodactyla;Mindoro_dwarf buffalo;Epitheliochorial;Villous;http://placentation.ucsd.edu/anoa.htm;;;;;;;;;;;
Budorcas_taxicolor;Artiodactyla;takin;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Camelus_bactrianus;Artiodactyla;Bactrian_camel;Epitheliochorial;Villous;http://placentation.ucsd.edu/camfs.htm;;;;;;;;;;;
Camelus_dromedarius;Artiodactyla;dromedary;Epitheliochorial;Villous;http://placentation.ucsd.edu/camfs.htm;;;;;;;;;;;
Capra_cylindricornis;Artiodactyla;East_Caucasian tur;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Capra_falconeri;Artiodactyla;markhor;Epitheliochorial;Villous;http://placentation.ucsd.edu/alpinefs.htm;;;;;;;;;;;
Capra_hircus;Artiodactyla;domestic_goat;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Capra_ibex;Artiodactyla;Alpine_ibex;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Capra_nubiana;Artiodactyla;Nubian_ibex;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Capra_pyrenaica;Artiodactyla;Iberian_ibex;Epitheliochorial;Villous;http://www.vivo.colostate.edu/hbooks/pathphys/reprod/placenta/structure.html;;;;;;;;;;;
Capreolus_capreolus;Artiodactyla;roe_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Capricornis_crispus;Artiodactyla;Japanese_serow;Epitheliochorial;Villous;http://placentation.ucsd.edu/serow.html;;;;;;;;;;;
Catagonus_wagneri;Artiodactyla;Chacoan_peccary;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cephalophus_dorsalis;Artiodactyla;bay_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalophus_jentinki;Artiodactyla;Jentink's_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalophus_monticola;Artiodactyla;blue_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalophus_niger;Artiodactyla;black_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalophus_rufilatus;Artiodactyla;red-flanked_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalophus_silvicultor;Artiodactyla;yellow-backed_duiker;Epitheliochorial;Villous;http://placentation.ucsd.edu/duiker.htm;;;;;;;;;;;
Cephalorhynchus_commersonii;Artiodactyla;Commerson's_dolphin;Epitheliochorial;Trabecular;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cervus_canadensis;Artiodactyla;wapiti;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cervus_duvaucelii;Artiodactyla;swamp_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cervus_elaphus;Artiodactyla;red_deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Cervus_eldii;Artiodactyla;Eld's_deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Cervus_nippon;Artiodactyla;sika_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cervus_timorensis;Artiodactyla;Javan_rusa;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Cervus_unicolor;Artiodactyla;sambar;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Connochaetes_gnou;Artiodactyla;black_wildebeest;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Connochaetes_taurinus;Artiodactyla;blue_wildebeest;Epitheliochorial;Villous;http://placentation.ucsd.edu/gnu.html;;;;;;;;;;;
Copra_hircus;Artiodactyla;goat;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Dama_dama;Artiodactyla;fallow_deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Damaliscus_lunatus;Artiodactyla;common_tsessebe;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Elaphodus_cephalophus;Artiodactyla;tufted_deer;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
Elaphurus_davidianus;Artiodactyla;Pre_David's deer;Epitheliochorial;Villous;http://placentation.ucsd.edu/deer.html;;;;;;;;;;;
Eudorcas_thomsonii;Artiodactyla;Thomson's_gazelle;Epitheliochorial;Villous;https://www.sciencedirect.com/science/article/pii/S0143400409002677;;;;;;;;;;;
