taxonomic_order;species;common_name;gestation_length;neonate_body_size;litter_size;interbirth_interval;longevity;invasiveness;interdigitation;body_mass_g;litter_mass;female_body_mass_g
Chiroptera;acerodon_jubatus;giant_golden-crowned_flying_fox;166.65;-999;1;369.71;7320.34;Hemochorial;Labyrinthine;1087.04;-999;
Carnivora;acinonyx_jubatus;cheetah;90.12;441.66;3.04;541.88;7482.5;Endotheliochorial;Labyrinthine;50577.92;1342.6464;
Rodentia;acomys_cahirinus;Cairo_spiny_mouse;38;5.49;2.47;33.98;2731.42;Hemochorial;Labyrinthine;45.2;13.5603;32
Artiodactyla;addax_nasomaculatus;addax;276;5633.76;1;357.26;10293;Epitheliochorial;Villous;94288.68;5633.76;
Artiodactyla;aepyceros_melampus;impala;196.74;5238.4;1;364.75;9344;Epitheliochorial;Villous;52500;5238.4;40480
Carnivora;ailuropoda_melanoleuca;giant_panda;131.18;104.39;1.54;592.97;13432;Endotheliochorial;Labyrinthine;117500;160.7606;
Carnivora;ailurus_fulgens;red_panda;123.44;104.04;2;364.75;6935;Endotheliochorial;Labyrinthine;4747.54;208.08;
Artiodactyla;alcelaphus_buselaphus;hartebeest;240.64;12500;1;358.26;5828.85;Epitheliochorial;Villous;159938.9;12500;
Artiodactyla;alces_alces;moose;241.98;12999.99;1.28;364.75;9855;Epitheliochorial;Villous;359750;16639.9872;
Primates;allenopithecus_nigroviridis;Allen's_swamp_monkey;165.59;240.71;1;470.45;10019.25;Hemochorial;Labyrinthine;4690;240.71;
Primates;alouatta_caraya;black_howler;187;260.6;1;337.58;11826;Hemochorial;Villous;5462.5;260.6;4330
Primates;alouatta_palliata;mantled_howler;186;318.29;1;533.82;9125;Hemochorial;Villous;5659.14;318.29;4855
Primates;alouatta_seniculus;Colombian_red_howler;190;293.42;1.2;465.36;9125;Hemochorial;Trabecular;6398.31;352.104;4030
Rodentia;ammospermophilus_harrisii;Harris's_antelope_squirrel;29.36;3.59;6.66;290.28;3869;Hemochorial;Labyrinthine;126;23.9094;
Rodentia;ammospermophilus_leucurus;white-tailed_antelope_squirrel;29.19;2.9;8;233.62;4088;Hemochorial;Labyrinthine;99.37;23.2;88.8
Artiodactyla;ammotragus_lervia;Barbary_sheep;151.81;4500;1.22;220.8;7920.5;Epitheliochorial;Villous;92500;5490;
Scandentia;anathana_ellioti;Madras_treeshrew;46.31;-999;4.84;147.47;2851.09;Endotheliochorial;Labyrinthine;160;-4835.16;
Artiodactyla;antidorcas_marsupialis;springbok;169.49;3841.48;1;364.75;7300;Epitheliochorial;Villous;33571.24;3841.48;27850
Artiodactyla;antilocapra_americana;pronghorn;247.45;3454.7;1.89;364.75;5657.5;Epitheliochorial;Villous;45375;6529.383;
Artiodactyla;antilope_cervicapra;blackbuck;167.7;3386.14;1;221.63;8723.5;Epitheliochorial;Villous;37500;3386.14;
Carnivora;aonyx_capensis;African_clawless_otter;63;-999;2.56;245.21;5183;Endotheliochorial;Labyrinthine;21411.11;-2557.44;
Primates;aotus_trivirgatus;three-striped_night_monkey;142;96.49;1.06;269.82;10986.5;Hemochorial;Villous;872.98;102.2794;
Rodentia;aplodontia_rufa;mountain_beaver;29.91;23.12;2.8;365;3650;Hemochorial;Labyrinthine;706.8;64.736;
Carnivora;arctictis_binturong;binturong;92;317.35;2.5;332.57;9928;Endotheliochorial;Labyrinthine;12999.99;793.375;
Primates;arctocebus_aureus;golden_angwantibo;133.74;;1;140.64;4745;Epitheliochorial;Villous;257.5;;
Carnivora;arctocephalus_pusillus;brown_fur_seal;357.83;5750;1;364.75;11716.5;Endotheliochorial;Labyrinthine;127551;5750;
Carnivora;arctocephalus_townsendi;Guadalupe_fur_seal;246.38;-999;1;364.75;11169;Endotheliochorial;Labyrinthine;101063.7;-999;
Chiroptera;artibeus_jamaicensis;Mexican_fruit_bat;106.54;10.57;1;219.85;7014.08;Endotheliochorial;Labyrinthine;46.1;10.57;
Chiroptera;artibeus_lituratus;great_fruit-eating_bat;106.54;8.9;1;219.85;7014.08;Endotheliochorial;Labyrinthine;46.1;8.9;77.64533956
Erinaceomorpha;atelerix_albiventris;four-toed_hedgehog;35.5;8;4.49;271.67;4161;Hemochorial;Labyrinthine;600;35.92;178.94
Primates;ateles_fusciceps;black-headed_spider_monkey;227;499.99;1;925.37;17520;Hemochorial;Trabecular;7267.5;499.99;
Primates;ateles_geoffroyi;Geoffroys_spider_monkey;229.19;425.85;1;1008.38;17520;Hemochorial;Trabecular;7267.5;425.85;7653
Primates;ateles_paniscus;red-faced_spider_monkey;228.18;478.64;1;1071.36;16790;Hemochorial;Trabecular;7887.5;478.64;
Rodentia;atherurus_africanus;African_brush-tailed_porcupine;106.53;146.27;1.5;191.96;8364.58;Hemochorial;Labyrinthine;2875.65;219.405;
Artiodactyla;axis_axis;chital;226.75;3156.86;1.03;425.62;7592;Epitheliochorial;Villous;45500;3251.5658;50000
Artiodactyla;babyrousa_babyrussa;Buru_babirusa;156.5;715;1.4;301;8760;Epitheliochorial;Villous;92950.09;1001;
Artiodactyla;babyrousa_celebensis;North_Sulawesi_babirusa;156.5;;1.4;302.92;8760;Epitheliochorial;Villous;92950.09;;
Rodentia;bandicota_indica;greater_bandicoot_rat;22;9.77;6.12;35.98;1533;Hemochorial;Labyrinthine;511;59.7924;503
Carnivora;bassariscus_astutus;ringtail;54.23;27.74;3;364.75;6935;Endotheliochorial;Labyrinthine;1010.37;83.22;
Carnivora;bassariscus_sumichrasti;cacomistle;64.72;-999;2;251.2;8760;Endotheliochorial;Labyrinthine;906;-1998;
Rodentia;bathyergus_janetta;Namaqua_dune_mole-rat;68.41;15.39;3.3;133.74;547.5;Hemochorial;Labyrinthine;627.5;50.787;
Eulipotyphla;blarina_brevicauda;northern_short-tailed_shrew;20.09;0.89;5.73;57.43;1003.75;Hemochorial;Labyrinthine;20.7;5.0997;20.23
Artiodactyla;blastocerus_dichotomus;marsh_deer;270.58;4199.99;1;345.59;5000.5;Epitheliochorial;Villous;102500;4199.99;
Artiodactyla;bos_gaurus;gaur;274.77;;1.17;518.16;9563;Epitheliochorial;Villous;812571.5;;
Artiodactyla;bos_javanicus;banteng;295.89;-999;1.22;470.28;9891.5;Epitheliochorial;Villous;683333.3;-1218.78;
Artiodactyla;boselaphus_tragocamelus;nilgai;255;5875;1.5;382.49;7920.5;Epitheliochorial;Villous;180000;8812.5;
Lagomorpha;brachylagus_idahoensis;pygmy_rabbit;33.04;-999;5.91;38.97;1578.63;Hemochorial;Labyrinthine;431.19;-5904.09;
Pilosa;bradypus_pygmaeus;pygmy_three-toed_sloth;160.36;;1.11;378.2;9120.93;Endotheliochorial;Trabecular;2900;;
Pilosa;bradypus_torquatus;maned_sloth;150;-999;1;368.26;4380;Endotheliochorial;Labyrinthine;4184.21;-999;6900
Pilosa;bradypus_tridactylus;pale-throated_sloth;126.96;178.66;1;392.15;14600;Endotheliochorial;Labyrinthine;4072.9;178.66;3520
Pilosa;bradypus_variegatus;brown-throated_sloth;170.84;271.81;1;364.75;9866.91;Endotheliochorial;Labyrinthine;3963.18;271.81;4326
Artiodactyla;bubalus_depressicornis;dwarf_buffalo;300;-999;1;415.85;13176.5;Epitheliochorial;Villous;205994.6;-999;
Artiodactyla;bubalus_mindorensis;Mindoro_dwarf_buffalo;302.93;-999;1;1094.25;10220;Epitheliochorial;Villous;243861.5;-999;
Artiodactyla;budorcas_taxicolor;takin;235.6;-999;1.17;364.75;7993.5;Epitheliochorial;Villous;294515.3;-1168.83;
Primates;cacajao_calvus;bald_uakari;182;-999;1;775.28;13781.79;Hemochorial;Villous;3421.04;-999;
Primates;callimico_goeldii;Goeldi's_marmoset;153.5;50.5;1;180.63;8103;Hemochorial;Trabecular;556.5;50.5;
Primates;callithrix_geoffroyi;white-headed_marmoset;144;;2.24;164.29;8318.96;Hemochorial;Trabecular;299.61;;274.5
Primates;callithrix_jacchus;common_marmoset;144;27.74;2.24;164.29;8318.96;Hemochorial;Trabecular;255.2;62.1376;324
Primates;callithrix_kuhlii;Wied's_marmoset;144;;2;164.29;8318.96;Hemochorial;Trabecular;307;;
Primates;callithrix_penicillata;black-tufted_marmoset;144;-999;2;164.29;8318.96;Hemochorial;Trabecular;307;-1998;357.8571429
Carnivora;callorhinus_ursinus;northern_fur_seal;254.75;5354.8;1;364.75;12775;Endotheliochorial;Labyrinthine;55464.82;5354.8;42187.5
Rodentia;callosciurus_prevostii;Prevost's_squirrel;47.79;16.34;1.77;190.82;7701.5;Hemochorial;Villous;400;28.9218;
Rodentia;callospermophilus_lateralis;golden-mantled_ground_squirrel;30.44;;5.12;402.48;3796;Hemochorial;Labyrinthine;227.3;;
Rodentia;calomys_callosus;large_vesper_mouse;22.01;2.4;4.99;20.99;416.83;Hemochorial;Labyrinthine;48.6;11.976;
Artiodactyla;camelus_dromedarius;dromedary;395.76;36751.19;1;610.29;14600;Epitheliochorial;Villous;434000;36751.19;
Carnivora;canis_latrans;coyote;62.39;200.01;5.61;364.75;7969.17;Endotheliochorial;Labyrinthine;11050;1122.0561;
Carnivora;canis_lupus;wolf;62.2;412.31;4.98;364.75;10767.5;Endotheliochorial;Labyrinthine;29190.76;2053.3038;31100
Carnivora;canis_rufus;red_wolf;67.81;;4.25;288.23;5847.27;Endotheliochorial;Labyrinthine;23500;;
Artiodactyla;capra_cylindricornis;East_Caucasian_tur;161;;1.2;517.9;7373;Epitheliochorial;Villous;50000;;
Artiodactyla;capra_falconeri;markhor;163.07;-999;2;423.52;6971.5;Epitheliochorial;Villous;41000;-1998;
Artiodactyla;capra_ibex;Alpine_ibex;169;2779.07;1.18;517.9;8139.5;Epitheliochorial;Villous;77000;3279.3026;
Artiodactyla;capra_nubiana;Nubian_ibex;169;-999;1.11;517.9;8139.5;Epitheliochorial;Villous;70523.41;-1108.89;
Artiodactyla;capreolus_capreolus;roe_deer;153;1208.55;1.79;364.75;6387.5;Epitheliochorial;Villous;21666.69;2163.3045;20200
Artiodactyla;capricornis_crispus;Japanese_serow;215;3499.99;1;547.13;8760;Epitheliochorial;Villous;43030.64;3499.99;38430
Rodentia;capromys_pilorides;Desmarest's_hutia;125;199.49;2;187.49;5040.04;Hemochorial;Labyrinthine;4683.3;398.98;
Carnivora;caracal_caracal;caracal;73.96;195.86;3;364.75;7409.5;Endotheliochorial;Labyrinthine;14000;587.58;
Chiroptera;carollia_perspicillata;Seba's_short-tailed_bat;95;4.89;1;158.89;6205;Hemochorial;Labyrinthine;16.4;4.89;16.48770687
Rodentia;castor_canadensis;North_American_beaver;114.44;415.17;3.58;364.75;8541;Hemochorial;Labyrinthine;19928.33;1486.3086;15010
Artiodactyla;catagonus_wagneri;Chacoan_peccary;152.08;600.2;2.45;325.08;5344.21;Epitheliochorial;Villous;35433.2;1470.49;
Rodentia;cavia_fulgida;shiny_guinea_pig;73.39;-999;1.34;85.01;2401.99;Hemochorial;Labyrinthine;282.5;-1338.66;
Rodentia;cavia_tschudii;montane_guinea_pig;63;-999;2.02;73.65;3650;Hemochorial;Labyrinthine;580.94;-2017.98;
Primates;cebus_albifrons;Humboldt's_white-fronted_capuchin;158;231.92;1;546.88;16060;Hemochorial;Trabecular;2488.59;231.92;2130
Primates;cebus_capucinus;Colombian_white-faced_capuchin;162;238.36;1;796.37;20075;Hemochorial;Trabecular;2655;238.36;2783.5
Artiodactyla;cephalophus_dorsalis;bay_duiker;236;1611.37;1;310.77;6387.5;Epitheliochorial;Villous;11600;1611.37;11600
Artiodactyla;cephalophus_jentinki;Jentink's_duiker;205.76;4581.46;1;271.42;7771.46;Epitheliochorial;Villous;69244.92;4581.46;
Artiodactyla;cephalophus_niger;black_duiker;127.83;1940;1;231.41;5402;Epitheliochorial;Villous;18100;1940;
Artiodactyla;cephalophus_rufilatus;red-flanked_duiker;233.99;975.1;1;246.4;5548;Epitheliochorial;Villous;12500;975.1;
Artiodactyla;cephalophus_silvicultor;yellow-backed_duiker;165.27;4400.72;1;305.79;8212.5;Epitheliochorial;Villous;62006.6;4400.72;
Artiodactyla;cephalorhynchus_commersonii;Commerson's_dolphin;365.23;5834.74;1;702.43;9417;Epitheliochorial;Trabecular;68700;5834.74;
Perissodactyla;ceratotherium_simum;white_rhinoceros;515;48500;1;987.45;18250;Epitheliochorial;Villous;2230000;48500;
Primates;cercocebus_agilis;agile_mangabey;169.86;;1;445.37;16790;Hemochorial;Trabecular;7775;;
Primates;cercocebus_chrysogaster;golden-bellied_mangabey;169.86;;1;445.37;16790;Hemochorial;Trabecular;7775;;
Primates;cercocebus_torquatus;collared_mangabey;167.99;-999;1;445.37;16790;Hemochorial;Trabecular;8789;-999;6200
Primates;cercopithecus_cephus;moustached_guenon;172;337.19;1;820.44;13140;Hemochorial;Trabecular;3399.94;337.19;
Primates;cercopithecus_diana;Diana_monkey;168.99;466.9;1;364.75;13614.5;Hemochorial;Trabecular;4550;466.9;
Primates;cercopithecus_hamlyni;Hamlyn's_monkey;170.74;;1;471.7;10439;Hemochorial;Trabecular;4531.25;;3361
Primates;cercopithecus_mitis;blue_monkey;136.96;402;1;540.01;13797;Hemochorial;Trabecular;6116.5;402;3929
Primates;cercopithecus_mona;mona_monkey;172.73;280.49;1;608.22;11202.46;Hemochorial;Trabecular;4240.09;280.49;
Primates;cercopithecus_neglectus;De_Brazza's_monkey;176;259.95;1;474.18;11242;Hemochorial;Trabecular;5701;259.95;
Artiodactyla;cervus_elaphus;red_deer;244.4;8255.82;1.04;459.33;11497.5;Epitheliochorial;Villous;160166.7;8586.0528;203625
Artiodactyla;cervus_nippon;sika_deer;223.66;4277.11;1;362.31;9599.5;Epitheliochorial;Villous;52999.99;4277.11;28640
Chiroptera;chaerephon_plicatus;wrinkle-lipped_free-tailed_bat;88.64;4.5;0.99;272.18;2467;Hemochorial;Labyrinthine;21.83;4.455;17.2
Rodentia;chaetodipus_fallax;San_Diego_pocket_mouse;25;-999;3.23;203.39;3041.67;Hemochorial;Labyrinthine;18.95;-3226.77;
Cingulata;chaetophractus_vellerosus;screaming_hairy_armadillo;93.07;;1.5;250.17;5919.08;Hemochorial;Trabecular;1315.05;;850
Cingulata;chaetophractus_villosus;big_hairy_armadillo;67;124.48;1.65;314.53;9198;Hemochorial;Trabecular;4372.8;205.392;2507
Primates;cheirogaleus_medius;fat-tailed_dwarf_lemur;63.77;14.65;2.2;364.75;8471.04;Epitheliochorial;Villous;294.19;32.23;282
Rodentia;chinchilla_lanigera;long-tailed_chinchilla;112.47;39.59;1.69;123.77;7300;Hemochorial;Labyrinthine;485;66.9071;800
Primates;chlorocebus_aethiops;grivet;167.99;-999;1;434.05;16790;Hemochorial;Trabecular;5104.25;-999;2740
Primates;chlorocebus_pygerythrus;vervet_monkey;167.99;;1;434.05;16790;Hemochorial;Trabecular;5104.25;;
Primates;chlorocebus_sabaeus;green_monkey;167.99;;1;434.05;16790;Hemochorial;Trabecular;5104.25;;
Pilosa;choloepus_didactylus;Linnaeus's_two-toed_sloth;274.32;364;1;705.22;13432;Endotheliochorial;Trabecular;6250;364;
Pilosa;choloepus_hoffmanni;Hoffmann's_two-toed_sloth;344.89;373;1;455.81;13505;Endotheliochorial;Trabecular;4250;373;6300
Chiroptera;chrotopterus_auritus;big-eared_woolly_bat;153.05;-999;1;355.2;5894.62;Endotheliochorial;Labyrinthine;84.38;-999;94.38153846
Afrosoricida;chrysochloris_asiatica;Cape_golden_mole;67.67;-999;3.12;245.54;879.04;Hemochorial;Labyrinthine;36.93;-3116.88;
Carnivora;chrysocyon_brachyurus;maned_wolf;64;372.29;3;286.19;6132;Endotheliochorial;Labyrinthine;22250;1116.87;24630
Rodentia;coendou_mexicanus;Mexican_hairy_dwarf_porcupine;137.09;;1;220.21;6095.5;Hemochorial;Labyrinthine;2000;;
Rodentia;coendou_prehensilis;Brazilian_porcupine;203;410.8;1;393.64;9709;Hemochorial;Labyrinthine;3900;410.8;
Primates;colobus_angolensis;Angola_colobus;190.53;-999;1;441.9;12884.5;Hemochorial;Trabecular;8937.5;-999;7770
Primates;colobus_guereza;mantled_guereza;180;444.92;1;441.9;12775;Hemochorial;Trabecular;9058.41;444.92;
Artiodactyla;connochaetes_gnou;black_wildebeest;258.72;10941.45;1;365;7957;Epitheliochorial;Villous;132250;10941.45;
Artiodactyla;connochaetes_taurinus;blue_wildebeest;253;18044.36;1;364.75;9015.5;Epitheliochorial;Villous;180500;18044.36;
Rodentia;crateromys_heaneyi;golden-mantled_ground_squirrel;36.66;;2.04;86.89;3218.08;Hemochorial;Labyrinthine;1000;;
Rodentia;cricetomys_gambianus;Gambian_pouched_rat;34;22.68;3.33;68.77;3066;Hemochorial;Labyrinthine;1510.7;75.5244;
Rodentia;cricetulus_barabensis;Chinese_striped_hamster;20.55;2;5.33;39.76;1934.5;Hemochorial;Labyrinthine;22.85;10.66;
Rodentia;cricetulus_longicaudatus;long-tailed_dwarf_hamster;22.12;-999;5.71;49.93;60.83;Hemochorial;Labyrinthine;22.1;-5704.29;
Carnivora;crocuta_crocuta;spotted_hyena;110;1460;2;444.72;15001.5;Hemochorial;Labyrinthine;63000;2920;
Carnivora;crossarchus_obscurus;common_kusimanse;68.48;9.78;4;121.58;4854.5;Endotheliochorial;Labyrinthine;790;39.12;
Carnivora;cryptoprocta_ferox;fossa;91.31;99.96;3;399.3;8431.5;Endotheliochorial;Labyrinthine;9500;299.88;6100
Rodentia;ctenodactylus_gundi;common_gundi;74;29.89;1.9;69.65;2117;Hemochorial;Labyrinthine;288.8;56.791;
Rodentia;cuniculus_paca;lowland_paca;116;674.77;1.01;190.87;6132;Hemochorial;Labyrinthine;9000;681.5177;
Pilosa;cyclopes_didactylus;silky_anteater;215.75;-999;1;360.86;839.5;Hemochorial;Trabecular;251.98;-999;
Dermoptera;cynocephalus_volans;Philippine_flying_lemur;105;35.79;1;353.59;6387.5;Hemochorial;Labyrinthine;1250;35.79;
Rodentia;cynomys_ludovicianus;black-tailed_prairie_dog;35.42;15.24;4.43;820.69;6570;Hemochorial;Labyrinthine;1125;67.5132;
Chiroptera;cynopterus_sphinx;greater_short-nosed_fruit_bat;120;11;1.1;224.84;3686.5;Hemochorial;Labyrinthine;37.4;12.1;47.84
