species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
tolypeutes_tricinctus,Cingulata,99.97,2427.25,1465.72,NA,Endotheliochorial,Trabecular
chaetophractus_vellerosus,Cingulata,93.07,5919.08,1315.05,850,Hemochorial,Trabecular
chaetophractus_villosus,Cingulata,67,9198,4372.8,2507,Hemochorial,Trabecular
euphractus_sexcinctus,Cingulata,64.66,8066.5,4850,NA,Hemochorial,Trabecular
dasypus_hybridus,Cingulata,124.07,4950.86,1500,NA,Hemochorial,Trabecular
dasypus_novemcinctus,Cingulata,133,8151.67,3949.01,4428.5,Hemochorial,Trabecular
bradypus_variegatus,Pilosa,170.84,9866.91,3963.18,4326,Endotheliochorial,Trabecular
bradypus_tridactylus,Pilosa,126.96,14600,4072.9,3520,Endotheliochorial,Trabecular
bradypus_pygmaeus,Pilosa,160.36,9120.93,2900,NA,Endotheliochorial,Trabecular
bradypus_torquatus,Pilosa,150,4380,4184.21,6900,Endotheliochorial,Labyrinthine
choloepus_hoffmanni,Pilosa,344.89,13505,4250,6300,Endotheliochorial,Trabecular
choloepus_didactylus,Pilosa,274.32,13432,6250,NA,Endotheliochorial,Trabecular
tamandua_tetradactyla,Pilosa,160,7135.75,4500,NA,Hemochorial,Trabecular
myrmecophaga_tridactyla,Pilosa,184,11506.63,29531.83,32770,Hemochorial,Trabecular
cyclopes_didactylus,Pilosa,215.75,839.5,251.98,NA,Hemochorial,Trabecular
chrysochloris_asiatica,Afrosoricida,67.67,879.04,36.93,NA,Hemochorial,Labyrinthine
limnogale_mergulus,Afrosoricida,68.48,2210.79,77.7,NA,Hemochorial,Labyrinthine
tenrec_ecaudatus,Afrosoricida,60.24,3175.5,885.8,658.3,Hemochorial,Labyrinthine
hemicentetes_semispinosus,Afrosoricida,53.78,1000.71,133,107.6,Hemochorial,Labyrinthine
setifer_setosus,Afrosoricida,57.52,5146.5,304.11,218.8,Hemochorial,Labyrinthine
echinops_telfairi,Afrosoricida,57.83,6935,166.13,99.9,Hemochorial,Labyrinthine
potamogale_velox,Afrosoricida,74.57,3004.09,716.35,NA,Hemochorial,Labyrinthine
elephantulus_brachyrhynchus,Macroscelidea,59.56,1517.79,45.11,NA,Hemochorial,Labyrinthine
elephantulus_rufescens,Macroscelidea,58.74,2883.5,55.5,NA,Hemochorial,Labyrinthine
elephantulus_myurus,Macroscelidea,55.39,1517.79,61.99,53.83,Hemochorial,Labyrinthine
macroscelides_proboscideus,Macroscelidea,65,3175.5,39.5,43.3,Hemochorial,Labyrinthine
petrodromus_tetradactylus,Macroscelidea,76.67,2609.75,208,NA,Hemochorial,Labyrinthine
rhynchocyon_petersi,Macroscelidea,64.48,1639.46,423.99,NA,Hemochorial,Labyrinthine
orycteropus_afer,Tubulidentata,222.05,10877,56175.2,NA,Endotheliochorial,Labyrinthine
loxodonta_africana,Proboscidea,669.68,29200,4565000,2727333.333,Endotheliochorial,Labyrinthine
elephas_maximus,Proboscidea,642.84,29200,3220000,2663333.333,Endotheliochorial,Labyrinthine
trichechus_manatus,Sirenia,334.58,20440,387500,NA,Endotheliochorial,Labyrinthine
heterohyrax_brucei,Hyracoidea,228.21,5110,2000,NA,Hemochorial,Labyrinthine
procavia_capensis,Hyracoidea,226.45,5405.04,2750,3600,Hemochorial,Villous
aonyx_capensis,Carnivora,63,5183,21411.11,NA,Endotheliochorial,Labyrinthine
hydrictis_maculicollis,Carnivora,60.88,8358.5,4000,NA,Endotheliochorial,Labyrinthine
enhydra_lutris,Carnivora,216.1,10950,27410.93,NA,Endotheliochorial,Labyrinthine
lontra_canadensis,Carnivora,61.18,9855,8087.42,NA,Endotheliochorial,Labyrinthine
