species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
acerodon_jubatus,Chiroptera,369.71,7320.34,1087.04,NA,Hemochorial,Labyrinthine
acinonyx_jubatus,Carnivora,541.88,7482.5,50577.92,NA,Endotheliochorial,Labyrinthine
acomys_cahirinus,Rodentia,33.98,2731.42,45.2,32,Hemochorial,Labyrinthine
addax_nasomaculatus,Artiodactyla,357.26,10293,94288.68,NA,Epitheliochorial,Villous
aepyceros_melampus,Artiodactyla,364.75,9344,52500,40480,Epitheliochorial,Villous
ailuropoda_melanoleuca,Carnivora,592.97,13432,117500,NA,Endotheliochorial,Labyrinthine
ailurus_fulgens,Carnivora,364.75,6935,4747.54,NA,Endotheliochorial,Labyrinthine
alcelaphus_buselaphus,Artiodactyla,358.26,5828.85,159938.9,NA,Epitheliochorial,Villous
alces_alces,Artiodactyla,364.75,9855,359750,NA,Epitheliochorial,Villous
allenopithecus_nigroviridis,Primates,470.45,10019.25,4690,NA,Hemochorial,Labyrinthine
alouatta_caraya,Primates,337.58,11826,5462.5,4330,Hemochorial,Villous
alouatta_palliata,Primates,533.82,9125,5659.14,4855,Hemochorial,Villous
alouatta_seniculus,Primates,465.36,9125,6398.31,4030,Hemochorial,Trabecular
ammospermophilus_harrisii,Rodentia,290.28,3869,126,NA,Hemochorial,Labyrinthine
ammospermophilus_leucurus,Rodentia,233.62,4088,99.37,88.8,Hemochorial,Labyrinthine
ammotragus_lervia,Artiodactyla,220.8,7920.5,92500,NA,Epitheliochorial,Villous
anathana_ellioti,Scandentia,147.47,2851.09,160,NA,Endotheliochorial,Labyrinthine
antidorcas_marsupialis,Artiodactyla,364.75,7300,33571.24,27850,Epitheliochorial,Villous
antilocapra_americana,Artiodactyla,364.75,5657.5,45375,NA,Epitheliochorial,Villous
antilope_cervicapra,Artiodactyla,221.63,8723.5,37500,NA,Epitheliochorial,Villous
aonyx_capensis,Carnivora,245.21,5183,21411.11,NA,Endotheliochorial,Labyrinthine
aotus_trivirgatus,Primates,269.82,10986.5,872.98,NA,Hemochorial,Villous
aplodontia_rufa,Rodentia,365,3650,706.8,NA,Hemochorial,Labyrinthine
arctictis_binturong,Carnivora,332.57,9928,12999.99,NA,Endotheliochorial,Labyrinthine
arctocebus_aureus,Primates,140.64,4745,257.5,NA,Epitheliochorial,Villous
arctocephalus_pusillus,Carnivora,364.75,11716.5,127551,NA,Endotheliochorial,Labyrinthine
arctocephalus_townsendi,Carnivora,364.75,11169,101063.7,NA,Endotheliochorial,Labyrinthine
artibeus_jamaicensis,Chiroptera,219.85,7014.08,46.1,NA,Endotheliochorial,Labyrinthine
artibeus_lituratus,Chiroptera,219.85,7014.08,46.1,77.64533956,Endotheliochorial,Labyrinthine
atelerix_albiventris,Erinaceomorpha,271.67,4161,600,178.94,Hemochorial,Labyrinthine
ateles_fusciceps,Primates,925.37,17520,7267.5,NA,Hemochorial,Trabecular
ateles_geoffroyi,Primates,1008.38,17520,7267.5,7653,Hemochorial,Trabecular
ateles_paniscus,Primates,1071.36,16790,7887.5,NA,Hemochorial,Trabecular
atherurus_africanus,Rodentia,191.96,8364.58,2875.65,NA,Hemochorial,Labyrinthine
axis_axis,Artiodactyla,425.62,7592,45500,50000,Epitheliochorial,Villous
babyrousa_babyrussa,Artiodactyla,301,8760,92950.09,NA,Epitheliochorial,Villous
