species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
chaetophractus_villosus,Cingulata,205.392,9198,4372.8,2507,Hemochorial,Trabecular,0.04697036223929747,0.08192740327084164
euphractus_sexcinctus,Cingulata,183.715,8066.5,4850,NA,Hemochorial,Trabecular,0.03787938144329897,NA
dasypus_novemcinctus,Cingulata,385.92,8151.67,3949.01,4428.5,Hemochorial,Trabecular,0.09772575911430965,0.08714463136502203
bradypus_variegatus,Pilosa,271.81,9866.91,3963.18,4326,Endotheliochorial,Trabecular,0.06858381400794313,0.06283171521035599
bradypus_tridactylus,Pilosa,178.66,14600,4072.9,3520,Endotheliochorial,Trabecular,0.04386555034496305,0.05075568181818182
choloepus_hoffmanni,Pilosa,373,13505,4250,6300,Endotheliochorial,Trabecular,0.08776470588235294,0.05920634920634921
choloepus_didactylus,Pilosa,364,13432,6250,NA,Endotheliochorial,Trabecular,0.05824,NA
myrmecophaga_tridactyla,Pilosa,1500,11506.63,29531.83,32770,Hemochorial,Trabecular,0.05079265321519188,0.045773573390296
tenrec_ecaudatus,Afrosoricida,409.4136,3175.5,885.8,658.3,Hemochorial,Labyrinthine,0.46219643260329646,0.6219255658514355
hemicentetes_semispinosus,Afrosoricida,38.2063,1000.71,133,107.6,Hemochorial,Labyrinthine,0.28726541353383456,0.3550771375464684
setifer_setosus,Afrosoricida,75.088,5146.5,304.11,218.8,Hemochorial,Labyrinthine,0.2469106573279405,0.343180987202925
echinops_telfairi,Afrosoricida,41.1201,6935,166.13,99.9,Hemochorial,Labyrinthine,0.24751760669355324,0.4116126126126126
elephantulus_rufescens,Macroscelidea,14.508899999999999,2883.5,55.5,NA,Hemochorial,Labyrinthine,0.2614216216216216,NA
elephantulus_myurus,Macroscelidea,14.904,1517.79,61.99,53.83,Hemochorial,Labyrinthine,0.2404258751411518,0.27687163291844696
petrodromus_tetradactylus,Macroscelidea,36.211499999999994,2609.75,208,NA,Hemochorial,Labyrinthine,0.17409374999999996,NA
orycteropus_afer,Tubulidentata,1956.6704000000002,10877,56175.2,NA,Endotheliochorial,Labyrinthine,0.03483156980304476,NA
loxodonta_africana,Proboscidea,105000,29200,4565000,2727333.333,Endotheliochorial,Labyrinthine,0.023001095290251915,0.03849914446816171
elephas_maximus,Proboscidea,97000,29200,3220000,2663333.333,Endotheliochorial,Labyrinthine,0.03012422360248447,0.0364205256616296
trichechus_manatus,Sirenia,29636.99,20440,387500,NA,Endotheliochorial,Labyrinthine,0.07648255483870968,NA
heterohyrax_brucei,Hyracoidea,425.25,5110,2000,NA,Hemochorial,Labyrinthine,0.212625,NA
procavia_capensis,Hyracoidea,496.5156,5405.04,2750,3600,Hemochorial,Villous,0.18055112727272726,0.137921
enhydra_lutris,Carnivora,1894.37,10950,27410.93,NA,Endotheliochorial,Labyrinthine,0.06911002289962434,NA
lontra_canadensis,Carnivora,362.9598,9855,8087.42,NA,Endotheliochorial,Labyrinthine,0.04487955367719248,NA
pteronura_brasiliensis,Carnivora,396.245,6314.5,24000,NA,Endotheliochorial,Labyrinthine,0.016510208333333335,NA
