"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"acinonyx_jubatus","Carnivora",1342.6464,7482.5,50577.92,,"Endotheliochorial","Labyrinthine",0.0265460975856658,,3.04,441.66
"acomys_cahirinus","Rodentia",13.5603,2731.42,45.2,32,"Hemochorial","Labyrinthine",0.300006637168142,0.423759375,2.47,5.49
"addax_nasomaculatus","Artiodactyla",5633.76,10293,94288.68,,"Epitheliochorial","Villous",0.0597501205871161,,1,5633.76
"aepyceros_melampus","Artiodactyla",5238.4,9344,52500,40480,"Epitheliochorial","Villous",0.0997790476190476,0.129407114624506,1,5238.4
"ailuropoda_melanoleuca","Carnivora",160.7606,13432,117500,,"Endotheliochorial","Labyrinthine",0.00136817531914894,,1.54,104.39
"ailurus_fulgens","Carnivora",208.08,6935,4747.54,,"Endotheliochorial","Labyrinthine",0.0438290146054588,,2,104.04
"alcelaphus_buselaphus","Artiodactyla",12500,5828.85,159938.9,,"Epitheliochorial","Villous",0.0781548453815801,,1,12500
"alces_alces","Artiodactyla",16639.9872,9855,359750,,"Epitheliochorial","Villous",0.0462543077136901,,1.28,12999.99
"allenopithecus_nigroviridis","Primates",240.71,10019.25,4690,,"Hemochorial","Labyrinthine",0.0513240938166311,,1,240.71
"alouatta_caraya","Primates",260.6,11826,5462.5,4330,"Hemochorial","Villous",0.0477070938215103,0.0601847575057737,1,260.6
"alouatta_palliata","Primates",318.29,9125,5659.14,4855,"Hemochorial","Villous",0.056243528168591,0.0655592173017508,1,318.29
"alouatta_seniculus","Primates",352.104,9125,6398.31,4030,"Hemochorial","Trabecular",0.0550307815657572,0.0873707196029777,1.2,293.42
"ammospermophilus_harrisii","Rodentia",23.9094,3869,126,,"Hemochorial","Labyrinthine",0.189757142857143,,6.66,3.59
"ammospermophilus_leucurus","Rodentia",23.2,4088,99.37,88.8,"Hemochorial","Labyrinthine",0.23347086645869,0.261261261261261,8,2.9
"ammotragus_lervia","Artiodactyla",5490,7920.5,92500,,"Epitheliochorial","Villous",0.0593513513513514,,1.22,4500
"antidorcas_marsupialis","Artiodactyla",3841.48,7300,33571.24,27850,"Epitheliochorial","Villous",0.11442770657265,0.137934649910233,1,3841.48
"antilocapra_americana","Artiodactyla",6529.383,5657.5,45375,,"Epitheliochorial","Villous",0.143898247933884,,1.89,3454.7
"antilope_cervicapra","Artiodactyla",3386.14,8723.5,37500,,"Epitheliochorial","Villous",0.0902970666666667,,1,3386.14
"aotus_trivirgatus","Primates",102.2794,10986.5,872.98,,"Hemochorial","Villous",0.117161217897317,,1.06,96.49
"aplodontia_rufa","Rodentia",64.736,3650,706.8,,"Hemochorial","Labyrinthine",0.0915902659875495,,2.8,23.12
"arctictis_binturong","Carnivora",793.375,9928,12999.99,,"Endotheliochorial","Labyrinthine",0.0610288930991485,,2.5,317.35
"arctocephalus_pusillus","Carnivora",5750,11716.5,127551,,"Endotheliochorial","Labyrinthine",0.0450800072128012,,1,5750
"artibeus_jamaicensis","Chiroptera",10.57,7014.08,46.1,,"Endotheliochorial","Labyrinthine",0.229284164859002,,1,10.57
"artibeus_lituratus","Chiroptera",8.9,7014.08,46.1,77.64533956,"Endotheliochorial","Labyrinthine",0.193058568329718,0.114623750123761,1,8.9
"atelerix_albiventris","Erinaceomorpha",35.92,4161,600,178.94,"Hemochorial","Labyrinthine",0.0598666666666667,0.200737677433777,4.49,8
